Rodzaj pojazdu,Nr tab.,Brygada,Linia,Kierunek,Opóźnienie,Przystanek
Tramwaj,HG925,4-07,4,Zaj. Nowa Huta,29,Zajezdnia Nowa Huta 01
Tramwaj,RZ234,52-06,52,Czerwone Maki P+R,17,Czerwone Maki P+R 01
Tramwaj,HY874,22-02,22,Borek Fałęcki,16,Borek Fałęcki 01
Tramwaj,RP601,77-02,77,Nowy Bieżanów P+R,14,Ćwiklińskiej 01
Tramwaj,HY734,14-05,14,Miśnieńska,14,Miśnieńska 02
Tramwaj,RY876,18-02,18,Górka Narodowa P+R,13,Górka Narodowa P+R 01
Tramwaj,RP647,76-05,76,Mały Płaszów P+R,11,Mały Płaszów P+R 01
Tramwaj,RP637,77-05,77,Dworzec Towarowy,10,Dworzec Towarowy 02
Tramwaj,HL402,21-01,21,Kopiec Wandy,10,Kopiec Wandy 02
Tramwaj,RF301,72-05,72,Czerwone Maki P+R,9,Czerwone Maki P+R 01
Tramwaj,RY831,8-02,8,Borek Fałęcki,9,Borek Fałęcki 01
Tramwaj,RY827,50-05,50,Górka Narodowa P+R,9,Górka Narodowa P+R 01
Tramwaj,HL434,78-03,78,Krowodrza G. P+R,8,Krowodrza Górka P+R 03
Tramwaj,RY881,8-05,8,Bronowice Małe,7,Bronowice Małe 01
Tramwaj,RP619,11-04,11,Czerwone Maki P+R,5,Czerwone Maki P+R 01
Tramwaj,RF303,72-02,72,Rondo Grunwaldzkie,5,Rondo Grunwaldzkie 01
Tramwaj,RP641,76-03,76,Cmentarz Rakowicki,5,Uniwersytet Ekonomiczny 01
Tramwaj,RP645,11-05,11,Czerwone Maki P+R,5,Turowicza 02
Tramwaj,HY840,3-03,3,Nowy Bieżanów P+R,4,Plac Bohaterów Getta 01
Tramwaj,HY728,18-06,18,Czerwone Maki P+R,4,Łagiewniki 05
Tramwaj,RF305,5-01,5,Krowodrza G. P+R,4,Rondo Mogilskie 05
Tramwaj,RG901,52-05,52,Os.Piastów,4,Łagiewniki 04
Tramwaj,HG931,52-03,52,Os.Piastów,4,Dunikowskiego 01
Tramwaj,RY875,18-03,18,Górka Narodowa P+R,4,Pachońskiego P+R 01
Tramwaj,RF306,5-04,5,Jarzębiny,4,Politechnika 04
Tramwaj,RY809,50-07,50,Górka Narodowa P+R,4,Kabel 02
Tramwaj,HY873,24-01,24,Bronowice Małe,3,Bronowice Małe 01
Tramwaj,RG909,52-08,52,Czerwone Maki P+R,3,Starowiślna 02
Tramwaj,HG927,4-05,4,Bronowice Małe,3,UKEN 01
Tramwaj,RP610,11-02,11,Mały Płaszów P+R,3,Rzebika 01
Tramwaj,RF316,1-05,1,Salwator,3,Teatr Słowackiego 03
Tramwaj,HY843,20-01,20,Cichy Kącik,3,Rondo Mogilskie 04
Tramwaj,RF331,1-06,1,Salwator,3,Gałczyńskiego 01
Tramwaj,HG919,52-04,52,Os.Piastów,3,Rondo Mogilskie 02
Tramwaj,HY850,10-01,10,Kurdwanów P+R,3,Miodowa 01
Tramwaj,RY838,9-06,9,Nowy Bieżanów P+R,3,Rondo Grzegórzeckie 04
Tramwaj,RY806,10-06,10,Pleszów,3,Plac Bohaterów Getta 02
Tramwaj,RF314,1-02,1,Jarzębiny,2,Rondo 308. Dywizjonu 01
Tramwaj,HY868,3-06,3,Krowodrza G. P+R,2,Dworzec Towarowy 01
Tramwaj,HY715,14-02,14,Bronowice,2,Urzędnicza 01
Tramwaj,RY836,50-06,50,Górka Narodowa P+R,2,Szpital Narutowicza 01
Tramwaj,HY863,22-03,22,Borek Fałęcki,2,Łagiewniki ZUS 01
Tramwaj,RP632,76-01,76,Mały Płaszów P+R,2,Podgórze SKA 01
Tramwaj,HY739,14-03,14,Bronowice,2,Dąbie 02
