hour_of_day,day_of_week,is_weekend,month,day_of_month,temperature,precipitation,weather_condition,humidity,wind_speed,line_number,vehicle_type,vehicle_number,brigade,route_segment,direction,stop_name,planned_travel_time_min,delay_minutes,delay_category,delay_ratio,is_delayed
12,5,True,5,31,12.4,1.2,rain,75,3.2,18,tramwaj,RY837,18-01,Górka Narodowa–Czerwone Maki,Górka Narodowa P+R,Białoprądnicka 02,35,3.0,moderate_delay,0.08571428571428572,True
12,5,True,5,31,12.4,1.2,rain,75,3.2,20,tramwaj,HY843,20-01,Mały Płaszów–Cichy Kącik,Mały Płaszów P+R,Klimeckiego 01,20,3.0,moderate_delay,0.15,True
12,5,True,5,31,12.4,1.2,rain,75,3.2,78,tramwaj,HL434,78-03,Salwator–Krowodrza Górka,Salwator,Komorowskiego 01,30,3.0,moderate_delay,0.1,True
12,5,True,5,31,12.4,1.2,rain,75,3.2,10,tramwaj,RY834,10-07,Kurdwanów–Pleszów,Kurdwanów P+R,św. Wawrzyńca 01,25,3.0,moderate_delay,0.12,True
12,5,True,5,31,12.4,1.2,rain,75,3.2,4,tramwaj,HG920,4-04,Bronowice–Nowa Huta,Bronowice Małe,Białucha 02,40,3.0,moderate_delay,0.075,True
12,5,True,5,31,12.4,1.2,rain,75,3.2,52,tramwaj,HG930,52-01,Czerwone Maki–Os.Piastów,Os.Piastów,Kleeberga 01,30,3.0,moderate_delay,0.1,True
12,5,True,5,31,12.4,1.2,rain,75,3.2,9,tramwaj,HY861,9-01,Rondo Hipokratesa–Nowy Bieżanów,Rondo Hipokratesa,Rondo Grzegórzeckie 03,40,3.0,moderate_delay,0.075,True
12,5,True,5,31,12.4,1.2,rain,75,3.2,50,tramwaj,RY827,50-05,Borek Fałęcki–Górka Narodowa,Górka Narodowa P+R,Lipska 02,45,3.0,moderate_delay,0.06666666666666667,True
12,5,True,5,31,12.4,1.2,rain,75,3.2,3,tramwaj,HY844,3-01,Nowy Bieżanów–Krowodrza,Nowy Bieżanów P+R,Podgórze SKA 01,35,3.0,moderate_delay,0.08571428571428572,True
12,5,True,5,31,12.4,1.2,rain,75,3.2,14,tramwaj,HY841,14-01,Bronowice–Miśnieńska,Bronowice,Fabryczna 02,25,2.0,slight_delay,0.08,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,10,tramwaj,HY851,10-04,Kurdwanów–Pleszów,Pleszów,św. Wawrzyńca 02,25,2.0,slight_delay,0.08,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,8,tramwaj,RY833,8-01,Bronowice–Borek Fałęcki,Borek Fałęcki,Rondo Matecznego 01,35,2.0,slight_delay,0.05714285714285714,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,77,tramwaj,RP601,77-02,Nowy Bieżanów–Dworzec Towarowy,Nowy Bieżanów P+R,Starowiślna 04,25,2.0,slight_delay,0.08,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,50,tramwaj,HY712,50-10,Borek Fałęcki–Górka Narodowa,Górka Narodowa P+R,Rondo Mogilskie 05,45,2.0,slight_delay,0.044444444444444446,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,50,tramwaj,RY809,50-07,Borek Fałęcki–Górka Narodowa,Borek Fałęcki,Sanktuarium Bożego Miłosierdzia 02,45,2.0,slight_delay,0.044444444444444446,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,14,tramwaj,RY821,14-07,Bronowice–Miśnieńska,Bronowice,UKEN 01,25,2.0,slight_delay,0.08,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,3,tramwaj,HY853,3-02,Nowy Bieżanów–Krowodrza,Nowy Bieżanów P+R,Szpital Narutowicza 02,35,2.0,slight_delay,0.05714285714285714,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,18,tramwaj,RY876,18-02,Górka Narodowa–Czerwone Maki,Górka Narodowa P+R,Wawel 01,35,2.0,slight_delay,0.05714285714285714,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,18,tramwaj,HY728,18-06,Górka Narodowa–Czerwone Maki,Czerwone Maki P+R,Siewna Wiadukt 02,35,2.0,slight_delay,0.05714285714285714,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,5,tramwaj,RF315,5-05,Jarzębiny–Krowodrza,Krowodrza G. P+R,Bieńczycka 01,30,2.0,slight_delay,0.06666666666666667,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,11,tramwaj,RP619,11-04,Czerwone Maki–Mały Płaszów,Czerwone Maki P+R,Dworzec Płaszów Estakada 02,30,2.0,slight_delay,0.06666666666666667,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,72,tramwaj,RF301,72-05,Rondo Grunwaldzkie–Czerwone Maki,Rondo Grunwaldzkie,Słomiana 02,25,2.0,slight_delay,0.08,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,10,tramwaj,RY830,10-08,Kurdwanów–Pleszów,Kurdwanów P+R,Czyżyny 02,25,2.0,slight_delay,0.08,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,18,tramwaj,RY875,18-03,Górka Narodowa–Czerwone Maki,Górka Narodowa P+R,Grota-Roweckiego 02,35,2.0,slight_delay,0.05714285714285714,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,52,tramwaj,RG904,52-07,Czerwone Maki–Os.Piastów,Czerwone Maki P+R,AKF / PK 01,30,2.0,slight_delay,0.06666666666666667,False
12,5,True,5,31,12.4,1.2,rain,75,3.2,72,tramwaj,RF303,72-02,Rondo Grunwaldzkie–Czerwone Maki,Czerwone Maki P+R,Czerwone Maki P+R 01,25,1.0,slight_delay,0.04,False
