hour_of_day,day_of_week,is_weekend,month,day_of_month,temperature,precipitation,weather_condition,humidity,wind_speed,line_number,vehicle_type,vehicle_number,brigade,route_segment,direction,stop_name,planned_travel_time_min,delay_minutes,delay_category,delay_ratio,is_delayed
12,5,True,5,31,24.47,0.0,clouds,25,6.17,78,tramwaj,HL434,78-03,Salwator–Krowodrza Górka,Krowodrza G. P+R,Krowodrza Górka P+R 03,30,8.0,significant_delay,0.26666666666666666,True
12,5,True,5,31,24.47,0.0,clouds,25,6.17,8,tramwaj,RY881,8-05,Bronowice–Borek Fałęcki,Bronowice Małe,Bronowice Małe 01,35,7.0,significant_delay,0.2,True
12,5,True,5,31,24.47,0.0,clouds,25,6.17,11,tramwaj,RP619,11-04,Czerwone Maki–Mały Płaszów,Czerwone Maki P+R,Czerwone Maki P+R 01,30,5.0,moderate_delay,0.16666666666666666,True
12,5,True,5,31,24.47,0.0,clouds,25,6.17,72,tramwaj,RF303,72-02,Rondo Grunwaldzkie–Czerwone Maki,Rondo Grunwaldzkie,Rondo Grunwaldzkie 01,25,5.0,moderate_delay,0.2,True
12,5,True,5,31,24.47,0.0,clouds,25,6.17,76,tramwaj,RP641,76-03,Mały Płaszów–Cmentarz Rakowicki,Cmentarz Rakowicki,Uniwersytet Ekonomiczny 01,20,5.0,moderate_delay,0.25,True
12,5,True,5,31,24.47,0.0,clouds,25,6.17,11,tramwaj,RP645,11-05,Czerwone Maki–Mały Płaszów,Czerwone Maki P+R,Turowicza 02,30,5.0,moderate_delay,0.16666666666666666,True
12,5,True,5,31,24.47,0.0,clouds,25,6.17,3,tramwaj,HY840,3-03,Nowy Bieżanów–Krowodrza,Nowy Bieżanów P+R,Plac Bohaterów Getta 01,35,4.0,moderate_delay,0.11428571428571428,True
12,5,True,5,31,24.47,0.0,clouds,25,6.17,18,tramwaj,HY728,18-06,Górka Narodowa–Czerwone Maki,Czerwone Maki P+R,Łagiewniki 05,35,4.0,moderate_delay,0.11428571428571428,True
12,5,True,5,31,24.47,0.0,clouds,25,6.17,5,tramwaj,RF305,5-01,Jarzębiny–Krowodrza,Krowodrza G. P+R,Rondo Mogilskie 05,30,4.0,moderate_delay,0.13333333333333333,True
12,5,True,5,31,24.47,0.0,clouds,25,6.17,52,tramwaj,RG901,52-05,Czerwone Maki–Os.Piastów,Os.Piastów,Łagiewniki 04,30,4.0,moderate_delay,0.13333333333333333,True
12,5,True,5,31,24.47,0.0,clouds,25,6.17,52,tramwaj,HG931,52-03,Czerwone Maki–Os.Piastów,Os.Piastów,Dunikowskiego 01,30,4.0,moderate_delay,0.13333333333333333,True
12,5,True,5,31,24.47,0.0,clouds,25,6.17,18,tramwaj,RY875,18-03,Górka Narodowa–Czerwone Maki,Górka Narodowa P+R,Pachońskiego P+R 01,35,4.0,moderate_delay,0.11428571428571428,True
12,5,True,5,31,24.47,0.0,clouds,25,6.17,5,tramwaj,RF306,5-04,Jarzębiny–Krowodrza,Jarzębiny,Politechnika 04,30,4.0,moderate_delay,0.13333333333333333,True
12,5,True,5,31,24.47,0.0,clouds,25,6.17,50,tramwaj,RY809,50-07,Borek Fałęcki–Górka Narodowa,Górka Narodowa P+R,Kabel 02,45,4.0,moderate_delay,0.08888888888888889,True
12,5,True,5,31,24.47,0.0,clouds,25,6.17,24,tramwaj,HY873,24-01,Bronowice–Kurdwanów,Bronowice Małe,Bronowice Małe 01,35,3.0,moderate_delay,0.08571428571428572,True
12,5,True,5,31,24.47,0.0,clouds,25,6.17,52,tramwaj,RG909,52-08,Czerwone Maki–Os.Piastów,Czerwone Maki P+R,Starowiślna 02,30,3.0,moderate_delay,0.1,True
12,5,True,5,31,24.47,0.0,clouds,25,6.17,4,tramwaj,HG927,4-05,Bronowice–Nowa Huta,Bronowice Małe,UKEN 01,40,3.0,moderate_delay,0.075,True
12,5,True,5,31,24.47,0.0,clouds,25,6.17,11,tramwaj,RP610,11-02,Czerwone Maki–Mały Płaszów,Mały Płaszów P+R,Rzebika 01,30,3.0,moderate_delay,0.1,True
12,5,True,5,31,24.47,0.0,clouds,25,6.17,1,tramwaj,RF316,1-05,Salwator–Jarzębiny,Salwator,Teatr Słowackiego 03,45,3.0,moderate_delay,0.06666666666666667,True
12,5,True,5,31,24.47,0.0,clouds,25,6.17,20,tramwaj,HY843,20-01,Mały Płaszów–Cichy Kącik,Cichy Kącik,Rondo Mogilskie 04,20,3.0,moderate_delay,0.15,True
12,5,True,5,31,24.47,0.0,clouds,25,6.17,1,tramwaj,RF331,1-06,Salwator–Jarzębiny,Salwator,Gałczyńskiego 01,45,3.0,moderate_delay,0.06666666666666667,True
12,5,True,5,31,24.47,0.0,clouds,25,6.17,52,tramwaj,HG919,52-04,Czerwone Maki–Os.Piastów,Os.Piastów,Rondo Mogilskie 02,30,3.0,moderate_delay,0.1,True
12,5,True,5,31,24.47,0.0,clouds,25,6.17,10,tramwaj,HY850,10-01,Kurdwanów–Pleszów,Kurdwanów P+R,Miodowa 01,25,3.0,moderate_delay,0.12,True
12,5,True,5,31,24.47,0.0,clouds,25,6.17,9,tramwaj,RY838,9-06,Rondo Hipokratesa–Nowy Bieżanów,Nowy Bieżanów P+R,Rondo Grzegórzeckie 04,40,3.0,moderate_delay,0.075,True
12,5,True,5,31,24.47,0.0,clouds,25,6.17,10,tramwaj,RY806,10-06,Kurdwanów–Pleszów,Pleszów,Plac Bohaterów Getta 02,25,3.0,moderate_delay,0.12,True
12,5,True,5,31,24.47,0.0,clouds,25,6.17,1,tramwaj,RF314,1-02,Salwator–Jarzębiny,Jarzębiny,Rondo 308. Dywizjonu 01,45,2.0,slight_delay,0.044444444444444446,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,3,tramwaj,HY868,3-06,Nowy Bieżanów–Krowodrza,Krowodrza G. P+R,Dworzec Towarowy 01,35,2.0,slight_delay,0.05714285714285714,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,14,tramwaj,HY715,14-02,Bronowice–Miśnieńska,Bronowice,Urzędnicza 01,25,2.0,slight_delay,0.08,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,50,tramwaj,RY836,50-06,Borek Fałęcki–Górka Narodowa,Górka Narodowa P+R,Szpital Narutowicza 01,45,2.0,slight_delay,0.044444444444444446,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,22,tramwaj,HY863,22-03,Borek Fałęcki–Kopiec Wandy,Borek Fałęcki,Łagiewniki ZUS 01,40,2.0,slight_delay,0.05,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,76,tramwaj,RP632,76-01,Mały Płaszów–Cmentarz Rakowicki,Mały Płaszów P+R,Podgórze SKA 01,20,2.0,slight_delay,0.1,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,14,tramwaj,HY739,14-03,Bronowice–Miśnieńska,Bronowice,Dąbie 02,25,2.0,slight_delay,0.08,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,10,tramwaj,RY830,10-08,Kurdwanów–Pleszów,Kurdwanów P+R,Turowicza 01,25,2.0,slight_delay,0.08,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,18,tramwaj,RY877,18-04,Górka Narodowa–Czerwone Maki,Górka Narodowa P+R,Stradom 04,35,2.0,slight_delay,0.05714285714285714,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,8,tramwaj,RY884,8-03,Bronowice–Borek Fałęcki,Borek Fałęcki,Smolki 01,35,2.0,slight_delay,0.05714285714285714,False
12,5,True,5,31,24.47,0.0,clouds,25,6.17,8,tramwaj,RY885,8-06,Bronowice–Borek Fałęcki,Bronowice Małe,Teatr Bagatela 02,35,2.0,slight_delay,0.05714285714285714,False
