Rodzaj pojazdu,Nr tab.,Brygada,Linia,Kierunek,Opóźnienie,Przystanek
Tramwaj,HY737,9-03,9,Nowy Bieżanów P+R,1,Ćwiklińskiej 01
Tramwaj,RG905,4-01,4,Zaj. Nowa Huta,1,Teatr Słowackiego 02
Tramwaj,HY713,14-04,14,Miśnieńska,1,Dunikowskiego 01
Tramwaj,RF327,5-02,5,Jarzębiny,1,Białucha 01
Tramwaj,HY866,50-11,50,Górka Narodowa P+R,1,Piaski Nowe 02
Tramwaj,RP637,77-05,77,Dworzec Towarowy,1,Bieżanowska 02
Tramwaj,HL432,11-01,11,Mały Płaszów P+R,0,Kurdwanów P+R 03
Tramwaj,HL429,77-01,77,Nowy Bieżanów P+R,0,Prokocim Szpital 01
Tramwaj,HY847,50-02,50,Borek Fałęcki,0,Krowodrza Górka P+R 02
Tramwaj,RY881,8-05,8,Bronowice Małe,0,Rondo Matecznego 02
Tramwaj,RP602,77-04,77,Dworzec Towarowy,0,Rondo Grzegórzeckie 03
Tramwaj,RF331,1-06,1,Jarzębiny,0,Rondo Czyżyńskie 03
Tramwaj,HY720,50-08,50,Kurdwanów P+R,0,Górka Narodowa P+R 01
Tramwaj,HY734,14-05,14,Miśnieńska,0,Fabryczna 01
Tramwaj,RY824,22-05,22,Kopiec Wandy,0,Rondo 308. Dywizjonu 01
Tramwaj,RP647,76-05,76,Mały Płaszów P+R,0,Uniwersytet Ekonomiczny 02
Tramwaj,HL420,21-04,21,Pleszów,0,Plac Centralny im. R.Reagana 03
Tramwaj,HY718,9-02,9,Rondo Hipokratesa,0,Nowy Prokocim 02
Tramwaj,HG927,4-05,4,Bronowice Małe,0,Kombinat 02
Tramwaj,HK457,1-01,1,Jarzębiny,0,Starowiślna 03
Tramwaj,RY831,8-02,8,Borek Fałęcki,0,Stefana Batorego 0_
Tramwaj,RY836,50-06,50,Górka Narodowa P+R,0,Kościuszkowców 0_
Tramwaj,HY850,10-01,10,Kurdwanów P+R,0,Pleszów 01
Tramwaj,RZ234,52-06,52,Czerwone Maki P+R,0,Korona 03
Tramwaj,HG916,52-02,52,Os.Piastów,0,TAURON Arena Kraków Wieczysta 01
Tramwaj,HY869,10-02,10,Pleszów,0,Pleszów 01
Tramwaj,HY741,9-05,9,Nowy Bieżanów P+R,0,Rondo Kocmyrzowskie im. Ks. Gorzelanego 02
Tramwaj,RF304,72-04,72,Czerwone Maki P+R,0,Rondo Grunwaldzkie 01
Tramwaj,RF314,1-02,1,Jarzębiny,0,Salwator 01
Tramwaj,RF316,1-05,1,Salwator,0,Jarzębiny 02
Tramwaj,HL401,21-01,21,Os.Piastów,0,Kopiec Wandy 02
Tramwaj,HL402,21-01,21,Kopiec Wandy,0,Os. Piastów 01
Tramwaj,HL439,77-06,77,Dworzec Towarowy,0,Nowy Bieżanów P+R 01
Tramwaj,RP632,76-01,76,Mały Płaszów P+R,0,Cmentarz Rakowicki 01
Tramwaj,RP640,77-03,77,Nowy Bieżanów P+R,0,Dworzec Towarowy 02
Tramwaj,HY716,20-03,20,Mały Płaszów P+R,0,Cichy Kącik 01
Tramwaj,HY739,14-03,14,Bronowice,0,Miśnieńska 02
Tramwaj,HY840,3-03,3,Nowy Bieżanów P+R,0,Krowodrza Górka P+R 03
Tramwaj,HY868,3-06,3,Krowodrza G. P+R,0,Nowy Bieżanów P+R 01
Tramwaj,RG909,52-08,52,Czerwone Maki P+R,0,Os. Piastów 01
Tramwaj,RG913,4-02,4,Zaj. Nowa Huta,0,Bronowice Małe 01
Tramwaj,HY863,22-03,22,Borek Fałęcki,0,Plac Centralny im. R.Reagana 01
Tramwaj,HY715,14-02,14,Bronowice,0,Rondo Hipokratesa 02
Tramwaj,RF325,72-03,72,Czerwone Maki P+R,0,Lipińskiego 01
Tramwaj,RP644,11-03,11,Czerwone Maki P+R,0,Łagiewniki 05
